Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Data Scientist, Game",-1,"Prodigy Education connects students, parents, teachers and school districts with resources that promote a lifelong love of learning. Anyone with an internet connection is welcome to create a free account and try the most effective and engaging K-8 math platform in the world. Our business model helps us connect with youth around the world, with over 90 million students now voluntarily practicing math every single day — and enjoying it!

At Prodigy Education, we have an incredible team that works tirelessly to turn our goal of making education a human right into a reality. We are immensely grateful for our amazing team and all they do every day. We welcome people who share our passion to join our team, where you will have the opportunity to help an entire generation of students to LOVE learning.

Our passion is our mission - to help every student in the world love learning!

Please note: During the Covid-19 pandemic, in order to keep all our candidates safe, Prodigy is hiring and on-boarding 100% remotely for the time being.
Overview:
What makes an educational product engaging for children? Is there a way to genuinely make learning fun, finding a balance between an immersive gaming experience and improving your grasp of an academic topic? How do we identify moments of frustration and failure in a student's learning progression through their in-game behavior, and select the most effective gamified intervention for levelling up a student's abilities? Here at Prodigy, our Game team is busy trying to answer these and other similar questions about how to best gamify math. We are working on new and interesting approaches to model our players (i.e., students), specifically in the intersection of learning and gaming. Your work will help us to improve our game and by extension how our students learn. The work we do at Prodigy can help shape a student's learning path early in life, and we take that very seriously and hope you will too.
Your Impact:
Help our Game team better understand how users engage with our product
Evaluate the quality and impact of game features for current and upcoming products
Develop and evaluate models related to our game, improving user engagement and the quality of our product
Help design, execute, and evaluate experiments (e.g., A/A, A/B, multivariate tests) to assist our Product teams in developing our game
Who You Are:
Graduate degree in Educational Data Mining, Mathematics, Computer Science, Engineering, Neuroscience, Psychology, Behavioural Sciences, or related fields
Research-level expertise in analyzing how games and / or how children learn
At least 2 years of data analytics experience
Proficiency in Python and SQL (bonus points for R)
Experience working with machine learning algorithms and / or cloud platforms like AWS
Ability to oversee and work simultaneously on different projects with a variety of timelines
Ability to translate data insights into actionable steps
Love for our mission of helping kids everywhere enjoy learning
Bonus Points for:
Experience in cloud ecosystems and their data tooling (AWS, GCP)
Experience with Spark
Demonstrated ability to solve hard mathematical, algorithmic, and statistical problems
Significant accomplishments that required both technical and strategic capabilities, such as research projects, open-source software contributions, and entrepreneurship
What We Offer:
The opportunity to build a career of value and witness first hand the impact Prodigy has as the most engaging math platform in the world!
A culture of transparency, where team members are involved in important conversations
No micromanaging here! We believe in our employees skills and abilities, we encourage you to bring new innovative ideas to your team
Full health benefits from day one (1) for you and your family, fully covered! Nothing is ever taken off your pay cheque
We are a profitable company, with eligibility to participate in stock options for all employees
Late or early riser? We understand! We offer flexible working hours that allow you to schedule your 8 hour day with a bit more flexibility. We do have core office hours, This is to ensure team members can be present for important meetings and department needs. Here are our core office hours (core office hours of 10:30am - 3:00pm)
Feel like a different work environment? Work from home 1x a week!
Team building events that not only include you as a Prodigy employee, but your significant other and children as well
Company pizza lunch every second week for ‘All Hands’, where we discuss important Prodigy milestones
Do you need some fun to help break up your day? We have that covered! Join in some Ping Pong games, Smash Bros competitions or board games!
We are an equal opportunity employer and are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act, 2005 (AODA). Prodigy Game will provide accommodations to job applicants with disabilities throughout the recruitment process. If you require an accommodation, please notify us and we will work with you to meet your needs.",4.4,"SMARTeacher Inc.
4.4",Toronto,-1,201 to 500 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Senior Data Scientist // Scientifique des données principal,"CA$58k-CA$90k
(Glassdoor Est.)","Reporting to the Analytics Manager, the Senior Data Scientist is responsible for answering sophisticated business questions using complex data patterns. He/She will advocate, evangelize and build innovative data-fuelled models that support our success. The ideal candidate demonstrates a strong passion for producing new, creative and leading-edge analytics solutions.

RESPONSIBILITIES

Translate complex analytical results into actionable business initiatives
Develop a deep understanding of the business, its data, and patterns
Extract data from multiple sources to uncover opportunities or detect issues
Research and develop learning models, perform statistical analysis and deliver data reviews and optimization to internal teams and executives
Partner with strategic business stakeholders to provide evidence-based guidance
Contribute to data mining architecture, modeling standards and data analysis methodologies
Design and implement accessible, high-impact visualizations that clearly communicate conservation results, elucidate patterns, promote accountability, generate actionable insights, and facilitate decision making
Work iteratively in collaboration with different teams to refine initial concepts and prototypes that can be presented to stakeholders for feedback
Develop and continuously improve processes, tools, and techniques
Stay abreast of emerging tools and technologies

REQUIREMENTS

Master’s or PhD degree in Statistics, Mathematics, Quantitative Methods, or a related field
A minimum of 5 years experience in analytics / data science with a focus on driving business impact
Strong understanding of advanced modeling techniques, such as Machine Learning, nonparametric approaches and neural networks
Excellent programming skills using SQL, Python, and statistical softwares (eg. R, SAS)
Experience with data manipulation technologies and knowledge of programming languages
Extensive experience solving analytical problems using quantitative approaches
Experience using Spark or similar languages, an asset
Experience with e-Commerce, an asset
Experience in econometric models, an asset
Understanding of web analytics, an asset

SKILLS

Highly analytical and detail oriented
Capacity to synthesize, simplify and present complex information to technical and business stakeholders at various levels of the organization
Ability to design and present complex data sets in a variety of visually compelling formats
Ability to thrive in a fast-paced, performance-driven environment
Team player with solid interpersonal skills

----------

Relevant du Gestionnaire des analyses, le Scientifique des données principal est chargé de répondre aux questions d’affaires sophistiquées à l’aide de schémas de données complexes. Il/Elle va promouvoir, evangelizer et bâtir des modèles de données novateurs qui soutiennent notre succès. Le candidat idéal est passionné par la production de solutions d’analyse nouvelles, créatives et avant-gardistes.

RESPONSABILITÉS

Traduire des résultats analytiques complexes en initiatives d’affaires actionnables
Développer une compréhension approfondie des affaires, des données et des schémas de l’entreprise
Extraire les données de plusieures sources pour découvrir des opportunités ou détecter des problèmes
Développer des modèles d’apprentissage, effectuer des analyses statistiques et fournir des examens de données et l’optimisation des données aux équipes et aux directeurs internes
Travailler étroitement avec les intervenants stratégiques afin d’offrir une orientation basée sur les preuves
Contribuer à l’exploration des données, l’architecture, les normes de modèles et les méthodologies d’analyse des données
Concevoir et mettre en oeuvre des visualisations accessibles à impact élevé qui communiquent clairement les résultats de conservation, éclaircissent les schémas, favorisent la responsabilisation, génèrent des observations actionnables et facilitent la prise de décisions
Travailler de façon itérative en collaboration avec différentes équipes pour raffiner les concepts et prototypes originaux qui peuvent être présentés aux parties prenantes pour leur rétroaction
Développer et continuellement améliorer les processus, les outils et les techniques
Rester à l’affût des technologies et outils émergents

EXIGENCES

Maîtrise ou Doctorat en Statistiques, Mathématiques, Méthodes quantitatives, ou un domaine connexe
Un minimum de 5 années d’expérience en analyse / science des données visant à faire un impact sur les affaires
Solide compréhension des techniques de modélisation avancées telles que l’apprentissage machine, les techniques non paramétriques et les réseaux neutres
Excellentes compétences de programmation avec SQL, Python et logiciels statistiques (ex. R, SAS)
Expérience avec les technologies de manipulation des données et connaissance des langages de programmation
Vaste expérience en résolution de problèmes analytiques avec approches quantitatives
Expérience avec Spark ou langages similaires, un atout
Expérience e-commerce, un atout
Expérience avec les modèles économétriques, un atout
Compréhension de l’analytique Web, un atout

COMPÉTENCES

Solides aptitudes analytiques et soucieux du détail
Capacité à synthétiser, simplifier et présenter de l’information complexe aux parties prenantes techniques et d’affaires à tous les niveaux de l’entreprise
Capacité à concevoir et présenter des ensembles de données complexes dans une variété de formats visuellement attrayants
Habileté à réussir dans un environnement orienté sur la performance et au rythme rapide
Esprit d’équipe et fortes compétences relationnelles",4.0,"Ssense Presents Limited
4.0",Montreal,-1,501 to 1000 Employees,2003,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1
GCP Data engineer with Dataproc + Big Table,-1,"GAL AeroStaff., which provides specialized staffing and recruiting services is presently seeking a GCP Data engineer with Dataproc + Big Table for a contract based anywhere in Canada (Remote work)Responsibilities:

Working with GCP team for various GCP Cloud programs including Certifications, Partner engineering, Marketplace and other Cloud platform solutions.
Educating GCP / ISVs customers on best practices
Stakeholders management / Communication: Google, ISVs, Project Teams
Program Management and Execution
Managing the teams on different projects
Reporting and Project Communications
Advocating the customer's perspective during product and architecture planning.
Create and maintain a library of reusable container images
Awareness of Business P&L and Goals aligned to technology and revenue

Certifications:

GCP Cloud Certification is Must
Google Cloud Certified Professional Data Engineer
Google Cloud Certified Professional Cloud Architect

Technical Skills:

Experience with private, hybrid or public cloud technology
Possess Strong Cloud Implementation Experience in Cloud architecture/design, compute/storage services.
Understand multi-Cloud/multi-zone based designs.
Compute: Docker Apps, Lambda/ serverless, UserData customization
Preferred: Cluster/HA-based parallel design/multi-region approach
Cloud automation: Ansible, YAML, CloudFormation
Containers: Docker; Preferred: Container orchestration - Mesosphere, Kubernetes, ECS
Familiarity with functional operations of server, storage, and network functions.
Experience migrating Windows or Linux
Virtualization experience (VMware, Xen, HyperV)
Databases understanding: Oracle, DB2,MySql; Preferred: NoSql DB, MongoDB, Cassandra, DynamoDB
Program Management experience from Planning to execution
Having experience of Managing teams of moderate size
Strong communications skill and multiple stakeholder(TM)s management
Experience in implementing cloud solutions",4.0,"GAL AeroStaff Ltd.
4.0",Remote,-1,1 to 50 Employees,2011,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1
Data Analyst Developer,-1,"Are you into big data?

Do you have a very good knowledge of Oracle/Unix databases?

Is client data security part of your DNA?

The Client Experience and Data team is looking for two Data Analysts/Developers to join them. We are seeking candidates who are comfortable working with multidisciplinary teams, demonstrate solid analytical skills and ability to summarize information, and who excel at designing quality technological solutions.

Your role:

As a data expert, take part in major projects by supporting and developing solutions to meet the needs of multiple business lines
Understand the business rules governing client and transaction data
Ensure the proper functioning and maintenance of the Bank’s strategic databases
Implement security requirements in accordance with the Bank’s recommendations
Define and take charge of activities to update technology platforms
Help resolve incidents and correct production-related problems
Work according to delivery priorities agreed on as a team that are focused on business value, operational excellence and risks
Support delivery and continuous improvement by taking on one or more roles depending on the situation and priorities

Qualifications:
College diploma in a related field and 4 years of relevant experience
Proven experience as a data analyst/developer in a complex organization
Experience implementing operational processes (incidents, changes, problems, SLAs, access management, etc.)
Advanced knowledge of Unix systems use
Advanced knowledge of Oracle databases
Knowledge of SQL used to query relational databases
Ability to positively influence and motivate stakeholders
Independence, initiative and strong capacity to retain information
Ability to summarize and analyze information
Team work and problem solving skills
Ability to work under pressure
Demonstrate our values of partnership, agility and empowerment
Bilingualism, spoken and written (English and French)

We strive to be an inclusive organization where all employees are valued. National Bank stands out for its many initiatives to promote inclusion, making it a Canada-wide leader in diversity.

INDTI",4.1,"National Bank of Canada
4.1",Montreal,-1,10000+ Employees,1859,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD),-1
Senior Data Scientist,-1,"What is the opportunity?

As a Senior Data Scientist, you will analyze, design, and implement organization-wide AIOps solutions at RBC Technology Infrastructure (TI). Leveraging leading edge technologies and various data sets, you will build machine learning based products to facilitate informed decision-making and business process optimization.

What will you do?

Work on challenging and research-based initiatives using advanced machine learning methods focusing on tangible outcomes
Collaborate proactively with various business and operation units to identify business opportunities and designing innovative solutions to optimize processes and promote informed decision-making.
Prepare and integrate large and various types of data (structured/non-structured)
Implement machine learning models, data mining methods, and statistical analysis
Leverage visualization tools/packages to create powerful representations of results
Produce data-driven insights to help in informed decisions and actions by telling a convincing story
Effectively communicate findings to business partners and executives
Collaborate with the development team to deploy production-scale solutions
Quickly learn new methods, tools and technologies presented in research communities to implement and adapt them within the daily analytics exercises

What do you need to succeed?

Must-have

Masters or PhD. in Computer Science, Statistics, or relevant fields.
Expert in Python programming to write production-ready codes. Strong data profiling, cleaning, mining and technical documentation skills
2+ years of experience in building machine learning models
2+ years of experience with NLP and text analytics methods and packages
Experience with time-series analysis, forecasting, and anomaly detection
Experience with big data technologies – parallel processing techniques and Apache Spark, Hadoop ecosystem, NoSQL/SQL databases
Proficient in Linux environment, shell scripting, and Git

Nice-to-have

Software engineering background with a focus on statistics and/or analytics
Strong knowledge and experience of different deep neural networks architectures (RNN, CNN, GAN, seq2seq/Transformers) and transfer learning
Experience with MLOps to build end-to-end pipeline and deploying models
Familiar with container-type environment: Docker, Kubernetes, Openshift

What’s in it for you?

We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.
A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable
Leaders who support your development through coaching and managing opportunities
Ability to make a difference and lasting impact
Work in a dynamic, collaborative, progressive, and high-performing team
A world-class training program in financial services
Flexible work/life balance options
Opportunities to do challenging work
Opportunities to take on progressively greater accountabilities
Opportunities to building close relationships with clients
Access to a variety of job opportunities across business and geographies

Learn more about RBC Tech Jobs

Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.

JOB SUMMARY
City: Toronto
Address: 330 Front Street W
Work Hours/Week: 37.5
Work Environment: Office
Employment Type: Permanent
Career Level: Experienced Hire/Professional
Pay Type: Salary + Variable Bonus
Required Travel(%): 0-25
Exempt/Non-Exempt: N/A
People Manager: No
Application Deadline: 08/31/2020
Platform: Technology and Operations
Req ID: 258308
Ad Code(s):",4.0,"Royal Bank of Canada
4.0",Toronto,-1,10000+ Employees,1869,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
Data Modeler,-1,"Data Modeler

As a Data Modeler you will create business meaningful metrics from raw source data and sustainably organize all the data available to the company and distill it into a simple, understandable, and easily consumable format for the organization to use.

The majority of your time will be spent producing data models that are compatible with our existing Analytics Delivery platform (Tableau). The data models and related meta-data will need to be documented, and you will also need to provide the prototype ELT/ETL (in SQL) code that will create this data model.

Under the guidance of the Lead Data Modeler, you will need to maintain all data governance practices and coordinate with other teams, such as Analytics Delivery and Data Engineering. You will be working with the Analytics Delivery by keeping them informed about the changes in Data Models, and how that impacts them. You will be working with Data Engineering to QA, productionize and schedule the ELT/ETL code that creates the dimensional models.

Youre great at
Breaking down complex ideas into simple models while keeping end user in mind
Understanding business processes and concepts, designing, and developing enterprise dimensional data models
Translating business requirements into functional and technical specifications
Maintaining and upkeeping existing data models, both code and documentation
Supporting other teams through keeping them updated on new and modified data models
Assisting in debugging and the production of Python scripts, especially those that create new data sets
Who are you?
You have a degree in Business, Mathematics, Computer Science or equivalent combination of education and industry experience
You have a minimum 3 years of experience in a Business Intelligence role
You have a minimum 2 years of experience working with implementing dimensional models in SQL
You have working experience with the entire Business Intelligence process from data ingestion to report development
You have experience in the FinTech industry (this would be an asset)
You have developed an expertise in SQL, and you are familiar with Python (Spark is a bonus)
It will be beneficial to have Python skills and have a prior experience with a Big data technology stack (Cloudera, Impala, HDFS, Spark, SageMaker, Redshift, etc.)
You have a solid understanding of data models, dimensional modeling, star schema (Kimball), data integration technologies, methodologies, and best practices
You feel comfortable communicating with both technical and non-technical audiences.
You know how to spot areas of improvement and when to challenge the status quo
It will also be a bonus if you have successfully implemented automated unit and functional tests on your data models
You value usability and maintainability more than complexity
You are curious and eager to continuously learn
You enjoy building and being accountable for solutions that will last a long time
You are independent and decisive when solving problems
You have good communication and analytical skills to synthesize insights and communicate findings in a concise manner
You are an effective collaborator, able to be the bridge across different teams
You are a team player, smart, adapt well to change, have a positive attitude and as a bonus, you like to have fun!
How we Work

We know that exceptional people have great ideas and are passionate about their work. Our culture encourages excellence and actively rewards contributions with:

Connection: Youre surrounded by talented people every day who are driven by their passion of a common goal.

Core Values: They define us. Living them helps us be the best at what we do.

Compensation & Benefits: Pay is driven by individual and corporate performance and we provide a multitude of benefits and perks.

Education: To ensure you are the best at what you do we invest in you

About Interac

Interac Corp. operates an economical, world-class debit payments system with broad-based acceptance, reliability, security, and efficiency. The organization is one of Canada's leading payments brands and is chosen an average of 16 million times daily to pay and exchange money. For more than 30 years, Interac Corp. and its predecessors, Interac Association and Acxsys Corporation, have facilitated secure financial transactions through the development of innovative and convenient debit and money transfer solutions. A leader in the prevention and detection of fraud, the organization has one of the lowest rates of fraud globally. Visit interac.ca or follow @INTERAC on Twitter. Interac Corp. has a diverse group of shareholders that includes banks, credit unions, caisses populaires, payment processors and merchants.

Interac Corp. believes in providing an inclusive workplace where all individuals have the opportunity to succeed. We are committed to doing so by providing accessible employment practices. Contact a member of the Human Resources department if you need accommodation at any point in the application process or want more information about our Accessibility Policy, which is also available online here.

Powered by JazzHR",3.6,"Interac Corporation
3.6",Toronto,-1,201 to 500 Employees,1984,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,-1
Data Analyst,-1,"Syniti was founded to solve business’ complex data challenges, bringing synergy between data and business, delivering confidence and progress along clients’ business transformation journey. Through a combination of unique data expertise, services, and intelligent software leveraging artificial intelligence and machine learning, we help clients manage their data journey from data conversion to data quality, data archival and replication, master data management, analytics, information governance, and data strategy.

Utilizing the market’s top data specialists, validated industry knowledge and proven methodologies, Syniti has led thousands of successful data journey projects for Forbes Global 2000 organizations. SAP resells Syniti products as part of the Solution Extension Partner program.

Syniti is a purpose-driven company. “We’re embracing the future together as one – with our employees, clients and partners – accelerating global and human progress, one data challenge at a time.”

Headquartered in Boston, MA, Syniti operates in 25 countries around the globe.

Position Summary


As a Data Analyst, you will help our clients address some of their biggest data challenges. You will develop a diverse set of core consulting skills, such as business analysis, process improvement and technical expertise. You will be a key contributor to the consulting team at different phases of the project including discovery, solution generation, design/architecture and the detailing of the overall process. Over time, you’ll play a pivotal role in helping us drive the successful delivery of new solutions to our clients every day.

Primary Responsibilities:
Deliver unique technology and business solutions to clients across industries, including; Financial Services, Pharma & Life Sciences, Manufacturing and Utilities
Work closely with other consultants on customer site as a part of small to large size project teams
Participate in team problem solving efforts and offer ideas to solve client issues
Conduct requirements analysis, data analysis and create reports
Assist in the customization and configuration of the solution
Maintain responsibility for completion and accuracy of work products
Actively expand consulting skills and professional development through training courses, mentoring, and daily interaction with clients
Observe and foster best practices in business process design and implementation
Maintain engagement utilization requirement
Qualifications:


Bachelor’s Degree in Computer Science, Information Systems or related analytical or technical disciplines
1+ years of ERP techno-functional or functional experience, SAP preferred
Proficient in MS SQL (query skills, table structure and relational databases)
Experience with data quality analysis, statistical analysis and/or modeling
Experience mining and analyzing transactional electronic data with competency in one or more of the following: SAS, SQL or other software tools
Advanced proficiency with MS Office Suite, specifically Excel, Office and Word
Experience using collaboration tools such as Skype, Zoom, Hangouts, Slack etc
Proven experience effectively prioritizing workload to meet deadlines and work objectives
Demonstrated ability to present clearly, succinctly and in a manner that appeals to a wide audience
Superior customer service skills, preferably demonstrated by experience working directly with customers
Ability to adapt to changing environments and pick up new skills quickly
Excellent written and verbal communication skills
Self-starter with the ability to self-motivate in fast paced environments
Strong drive for achieving results under pressure
Syniti offers a generous benefits package that includes medical, 401k, long term disability, life insurance and a paid time off program.

If you are interested in this or any one of the exciting career opportunities at Syniti®, please go to www.syniti.com and view our Careers section, where you should complete the on-line application process.",3.5,"BackOffice Associates, LLC
3.5",Moncton,-1,501 to 1000 Employees,1996,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Product Data Scientist,-1,"Coffee Meets Bagel
Coffee Meets Bagel's mission is to give everyone a chance at love. The app curates quality matches with fuller profiles that result in real conversations. Globally, CMB has generated millions of real dates and thousands of lasting relationships. Coffee Meets Bagel was named one of the Top 10 Dating apps by Time Magazine and the Best Dating App for Women by Refinery29. It has also been voted the #1 recommended dating app for singles looking for relationships.

Job description
Each day, our users visit our app with the hope of connecting with someone. These interactions generate millions of data points that can be used to help us better understand our customers’ experiences. We need you to ask and answer the questions that will transform this data into a better understanding of what our customers find delightful and what they find painful so that you can help drive changes that further our vision of helping singles form meaningful connections with other amazing singles!

The Product Data Scientist will be responsible for partnering with our product and growth teams to provide the facts needed to make better decisions and to help push our products and services to better serve our customers. You will be responsible for building a strong understanding of our ecosystem, working with the product team to determine which projects are the most important, and being willing to use the right tool (a scripted model, a dashboard, a presentation) to find and explain relevant information and insight that will help the company operate better.


Responsibilities
Work cross-functionally with product, design, finance, and engineering teams to provide data-driven insights that will help define the product & marketing roadmap and drive significant increase in core business KPIs (growth, revenue, engagement).
Create internal dashboards to monitor the health of the product and business KPIs (growth, revenue, engagement).
Deliver ad-hoc analyses and reports to support business needs, investigate, triage and resolve metrics-based issues without heavy guidance.
Assist in feature development from ideation to execution, including helping with user research, determining the best way to test new product features, and running deep analysis of feature performance post launch.
Create and share compelling presentations that motivates and inspires the team to build with conviction.
When necessary, build models in R, Python, or other systems that help us better measure and understand the results of experiments or user flows.
Qualifications
Bachelors in a quantitative field and 3+ years post-collegiate work experience as an analyst or data scientist; or a Masters/PhD in a quantitative field with 1+ years relevant experience.
Experience applying statistics to rigorously analyze data and derive insights to solve ambiguous problems.
Expertise designing and evaluating randomized controlled experiments. Familiarity with quasi-experiments is a plus.
High proficiency in SQL & business intelligence tools (e.g., Mode, Tableau, etc).
Capable of condensing data and telling a persuasive story to technical and non-technical audiences.
Self-starter, with ability to thrive in a dynamic, fast-paced environment, drive change through influence, and collaborate effectively with a variety of cross-functional stakeholders. Excited and hungry to try new tools and processes to achieve results.
Passionate about building delightful products for our customers.
Competency in R, Python, or another scripting language is a plus.

This role is only for candidates in Ontario, Canada .",4.5,"Coffee Meets Bagel
4.5",Toronto,-1,51 to 200 Employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
Data Scientist,-1,"About Assurance
At Assurance we are disrupting the antiquated and inefficient world of insurance and financial services. Our team of world class software engineers, data scientists, and business professionals are modernizing how people obtain and manage their financial life all through our powerful platform ecosystem. We are rapidly growing as we expand our product offerings and global footprint, and this growth continues to present new and exciting challenges as we push our industry into its future. We eliminate waste throughout the industry and calculate the complex into simple, valuable solutions to improve people's lives. We are humble, driven, and committed to improving the lives of millions.

About the Position
As we build the future of consumer insurance in a modern age, data is at the core of everything that we do. The role requires team members who are adept at using large data sets to find opportunities for optimization and can leverage appropriate models to test the effectiveness of different courses of action. Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations. Team members must be very comfortable writing production-ready code to include testing and maintenance infrastructure, and able to put models and analysis into production with no support from engineering (we own our stack end to end). At Assurance, we hire experts in their field, and we give them the independence and trust to build based on their expertise.

About You
You have a proven ability to drive business results with data-based insights and are comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. You’re capable of getting data for analysis on your own, without reliance on engineering, and you can build professional dashboards as standalone software products and tools. We’re growing at a rapid pace, so it’s important that you embrace the opportunity to blaze your own trail. You thrive in a fast-paced environment where priorities can shift rapidly as we corner opportunity. You can work independently, with little oversight or guidance.
To be successful in this role, you must possess the following:
Proficiency in either Python or R, and expertise in SQL.
Experience working with AWS or another cloud-based computing platform.
Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.
Experience with BI tools like Tableau or Looker (preferred), or any other industry tool such Qlik, PowerBI, Spotfire, etc.
Excellent communication ability – you can explain your work in a way that anyone on the team can understand, and you can frame problems in a way that ensures the right question is being asked.
Business Acumen – you are always eager to understand how the business works, and more specifically, how your work impacts the business.
Enthusiastic yet humble – you are excited about the work you do, but you are also humble enough to embrace feedback – you don’t need to be the smartest person in the room.
Bachelors degree in mathematics, statistics, data science or related field of study.
The following additional experience is desired:
Experience retraining a model within a few days or update a model within one day.
Capable of performing an in-depth analysis and summarizing findings in one day.
Comfortable having conversations with our executive team and non-technical team members to distill down their needs and to deliver actionable insights.



Please review our CCPA policies here.",3.4,"ASSURANCE IQ, Inc.
3.4",Toronto,-1,51 to 200 Employees,2016,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
Data Scientist - QuantumBlack,-1,"You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally.

You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.

Role responsibilities
Work on complex and extremely varied data sets from some of the world’s largest organisations to solve real world problems
Develop data science products and solutions for clients as well as for our data science team
Write highly optimized code to advance our internal Data Science Toolbox
Work in a multi-disciplinary environment with specialists in machine learning, engineering and design
Add real-world impact to your academic expertise, as you are encouraged to write ‘black’ papers and present at meetings and conferences should you wish
Attend conferences such as NIPS and ICML as one global team as well as Data Science retrospectives where you will have the opportunity to share and learn from your co-workers.
Work within one of the largest and most advanced data science teams in London, support the Lead Data Scientists to develop data science products
What you’ll learn
How successful projections on real world problems across a variety of industries are completed through referencing past deliveries of end to end machine learning pipelines
Build products alongside the Core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations
Be able to focus on modelling by working alongside the Data Engineering team which focuses on the wrangling, clean-up and transformation of data.
Best practices in software development and productionise machine learning by working with our Machine Learning Engineering teams which optimise code for model development and scale it
Work with our UX and Visual Design teams to interpret your complex models into stunning and user-focused visualisations
Using new technologies and problem-solving skills in a multicultural and creative environment
You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.
Real-World Impact– No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.
Fusing Tech & Leadership– We work with the latest technologies and methodologies and offer first class learning programmes at all levels.
Multidisciplinary Teamwork- Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.
Innovative Work Culture– Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.
Striving for Diversity– With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.
Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:
Healthcare Efficiency– We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.
Environmental Impact– We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.
Product Development– We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.
Please submit your CV in English

Visit our Careers site to watch our video and read about our interview processes and benefits

As an equal opportunity employer, QuantumBlack encourages applications from all backgrounds regardless of gender, race, disability, pregnancy, marital status, age, sexual orientation, gender reassignment, religion or belief. We maintain a sense of community rooted in respect and consideration for all employees where any evaluation is based simply upon individual work and team performance.",3.3,"McKinsey & Company, Inc.
3.3",Montreal,-1,10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
