Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_name_text,company_age,Province,python_yn,rstudio_yn,spark,excel,aws
Senior Data Scientist // Scientifique des données principal,"CA$58k-CA$90k
(Glassdoor Est.)","Reporting to the Analytics Manager, the Senior Data Scientist is responsible for answering sophisticated business questions using complex data patterns. He/She will advocate, evangelize and build innovative data-fuelled models that support our success. The ideal candidate demonstrates a strong passion for producing new, creative and leading-edge analytics solutions.

RESPONSIBILITIES

Translate complex analytical results into actionable business initiatives
Develop a deep understanding of the business, its data, and patterns
Extract data from multiple sources to uncover opportunities or detect issues
Research and develop learning models, perform statistical analysis and deliver data reviews and optimization to internal teams and executives
Partner with strategic business stakeholders to provide evidence-based guidance
Contribute to data mining architecture, modeling standards and data analysis methodologies
Design and implement accessible, high-impact visualizations that clearly communicate conservation results, elucidate patterns, promote accountability, generate actionable insights, and facilitate decision making
Work iteratively in collaboration with different teams to refine initial concepts and prototypes that can be presented to stakeholders for feedback
Develop and continuously improve processes, tools, and techniques
Stay abreast of emerging tools and technologies

REQUIREMENTS

Master’s or PhD degree in Statistics, Mathematics, Quantitative Methods, or a related field
A minimum of 5 years experience in analytics / data science with a focus on driving business impact
Strong understanding of advanced modeling techniques, such as Machine Learning, nonparametric approaches and neural networks
Excellent programming skills using SQL, Python, and statistical softwares (eg. R, SAS)
Experience with data manipulation technologies and knowledge of programming languages
Extensive experience solving analytical problems using quantitative approaches
Experience using Spark or similar languages, an asset
Experience with e-Commerce, an asset
Experience in econometric models, an asset
Understanding of web analytics, an asset

SKILLS

Highly analytical and detail oriented
Capacity to synthesize, simplify and present complex information to technical and business stakeholders at various levels of the organization
Ability to design and present complex data sets in a variety of visually compelling formats
Ability to thrive in a fast-paced, performance-driven environment
Team player with solid interpersonal skills

----------

Relevant du Gestionnaire des analyses, le Scientifique des données principal est chargé de répondre aux questions d’affaires sophistiquées à l’aide de schémas de données complexes. Il/Elle va promouvoir, evangelizer et bâtir des modèles de données novateurs qui soutiennent notre succès. Le candidat idéal est passionné par la production de solutions d’analyse nouvelles, créatives et avant-gardistes.

RESPONSABILITÉS

Traduire des résultats analytiques complexes en initiatives d’affaires actionnables
Développer une compréhension approfondie des affaires, des données et des schémas de l’entreprise
Extraire les données de plusieures sources pour découvrir des opportunités ou détecter des problèmes
Développer des modèles d’apprentissage, effectuer des analyses statistiques et fournir des examens de données et l’optimisation des données aux équipes et aux directeurs internes
Travailler étroitement avec les intervenants stratégiques afin d’offrir une orientation basée sur les preuves
Contribuer à l’exploration des données, l’architecture, les normes de modèles et les méthodologies d’analyse des données
Concevoir et mettre en oeuvre des visualisations accessibles à impact élevé qui communiquent clairement les résultats de conservation, éclaircissent les schémas, favorisent la responsabilisation, génèrent des observations actionnables et facilitent la prise de décisions
Travailler de façon itérative en collaboration avec différentes équipes pour raffiner les concepts et prototypes originaux qui peuvent être présentés aux parties prenantes pour leur rétroaction
Développer et continuellement améliorer les processus, les outils et les techniques
Rester à l’affût des technologies et outils émergents

EXIGENCES

Maîtrise ou Doctorat en Statistiques, Mathématiques, Méthodes quantitatives, ou un domaine connexe
Un minimum de 5 années d’expérience en analyse / science des données visant à faire un impact sur les affaires
Solide compréhension des techniques de modélisation avancées telles que l’apprentissage machine, les techniques non paramétriques et les réseaux neutres
Excellentes compétences de programmation avec SQL, Python et logiciels statistiques (ex. R, SAS)
Expérience avec les technologies de manipulation des données et connaissance des langages de programmation
Vaste expérience en résolution de problèmes analytiques avec approches quantitatives
Expérience avec Spark ou langages similaires, un atout
Expérience e-commerce, un atout
Expérience avec les modèles économétriques, un atout
Compréhension de l’analytique Web, un atout

COMPÉTENCES

Solides aptitudes analytiques et soucieux du détail
Capacité à synthétiser, simplifier et présenter de l’information complexe aux parties prenantes techniques et d’affaires à tous les niveaux de l’entreprise
Capacité à concevoir et présenter des ensembles de données complexes dans une variété de formats visuellement attrayants
Habileté à réussir dans un environnement orienté sur la performance et au rythme rapide
Esprit d’équipe et fortes compétences relationnelles",4.0,"Ssense Presents Limited
4.0",Montreal,-1,501 to 1000 Employees,2003,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1,58,90,74.0,"Ssense Presents Limited
",17,QC,1,0,1,1,0
Data Scientist,"CA$75k-CA$98k
(Glassdoor Est.)","Replicon is looking to hire someone for our Time Intelligence platform who is passionate about taking data and transforming it into information and insights that can help our customers make the right decisions. Our SaaS application is used by thousands of customers, collecting data for millions of users, and we model business capabilities across many different industries.

Objectives
Work within our product engineering team to enhance our data analytics platform by identifying solutions to business problems using data analytics
Gain an understanding of our product and business domain to be able to drive our data model to be able to provide more analytical insights
Design and build our platform for solving time intelligence problems which needs to allow our customers to find meaningful insights in their uniquely modeled business
Evolve data analytics from a static model to a learning model, and not just analyzing a provided set of data
Keep current with industry trends
Responsibilities
Work with product managers to understand business objectives and to deliver results based on that context
Think about our data strategically, identifying new datasets for our product and work with the engineering team to integrate those datasets to create new data products
Execute analytical experiments and interpret the results to provide guidance on how to use or enhance our data platform
Identify relevant datasets to use for analytical experiments
Implement analytical models into production by taking product requirements and collaborating with software developers and machine learning engineers.
Own and continuously improve launched analytical models.
Evangelize analytics best practices and provide technical guidance and options to the team
Managing work on multiple concurrent analytics projects
Iterate and improve your work until the business objective is met, even if there are very challenging technical constraints to overcome
Openness to using many different tools and approaches as necessary - the right tool for the job
Take ownership and pride in everything you do and stand by what you deliver
Skills and Qualifications
Bachelors degree in statistics, applied mathematics, or related discipline
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Programming experience (Python, R, etc.)
Preferred Qualifications
2+ years experience in data science
Professional certifications
Experience with visualization tools such as PowerBI and Tableau
Experience with NLP/NLU technologies (Amazon Lex, Google DialogFlow, etc)
Experience with AI/ML technologies (Tensorflow, Amazon Sagemaker, etc)
Experience with SQL
Experience working in an Agile environment
A portfolio of relevant work to share",4.2,"Replicon Inc.
4.2",Calgary,-1,201 to 500 Employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,75,98,86.5,"Replicon Inc.
",24,AB,1,0,0,0,0
Data Scientist,"CA$48k-CA$80k
(Glassdoor Est.)","Détails du poste
Data Scientist
Date 2020-02-21
Numéro 2729
Secteur Technologie
Durée Permanent
Expertises Rôle et Responsabilités:
Extraire et analyser les données se trouvant dans les bases de données de l’entreprise afin d’optimiser et d’améliorer le développement des produits, les techniques de marketing et les stratégies commerciales.
Évaluer l’efficacité et l’exactitude des nouvelles sources de données et techniques de collecte de données.
Élaborer des algorithmes et des modèles de données personnalisées à appliquer aux ensembles de données.
Utiliser une modélisation prédictive pour accroître et optimiser l’expérience des clients, les revenus générés, le ciblage publicitaire et d’autres résultats opérationnels.
Élaborer un cadre de tests A/B pour l’entreprise et mettre à l’essai la qualité du modèle.
Coordonner différentes équipes fonctionnelles pour mettre en œuvre des modèles et surveiller les résultats.
Élaborer des processus et des outils pour le contrôle et l’analyse du rendement des modèles et de l’exactitude des données.

Exigences et requis:
Titulaire d’une maîtrise ou d’un doctorat en statistique, informatique, analyse des systèmes de gestion ou autre domaine connexe.
Au moins 6 ans d’expérience en science des données ou en statistiques appliquées.
Solides aptitudes pour le développement de produits et la résolution de problèmes.
Expérience dans l’utilisation de langages informatiques statistiques (R, Python, SLQ, etc.) pour manipuler les données et extraire des renseignements de grands ensembles de données.
Expérience dans la manipulation d’ensembles de données et l’élaboration de modèles statistiques.
Expérience avec diverses techniques d’apprentissage automatique (Forêt d'arbres décisionnels, gradient boosting, machines à vecteur de support, réseaux de neurones, réseaux bayésiens, etc.) et de leurs avantages et inconvénients dans le monde réel.
Expérience avec les techniques et concepts statistiques sophistiqués (MLG/régression, séries chronologiques, propriétés des distributions, tests statistiques et utilisation conforme, etc.).
Expérience dans l’utilisation et la création d’architectures de données.
Expérience dans l’utilisation de services Web : Redshift, S3, Azure, Spark, DigitalOcean, etc.
Expérience dans l’analyse de données provenant de: Microsoft Application insights, Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Expérience dans la visualisation et la présentation de données pour des intervenants, à l’aide de : Periscope, Microsoft Power BI, Business Objects, D3, ggplot, etc.
Expérience de direction d’initiatives axées sur le service client.
Excellentes aptitudes pour la communication verbale et écrite en vue de la coordination des équipes.",-1.0,Services Conseils IntelliSoft inc,Montreal,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,48,80,64.0,Services Conseils IntelliSoft inc,-1,QC,1,0,1,1,0
Data Scientist.,"CA$71k-CA$90k
(Glassdoor Est.)","Job Description
Status: Permanent – Full-time
Location: Montréal – Griffintown

At Brainfinance, we pride ourselves in offering the highest possible quality of customer experience. We are looking for a person who thrives in a team environment, who is passionate, driven and who yearns to grow personally and professionally. This person will become part of a team that thrives on the new challenges presented by a fast-paced and constantly evolving environment. The chosen candidate will possess a keen eye for detail and will come up with innovative ideas that will contribute to the success of both the company and the customer experience.

As a Data Scientist, you will be working with teammates who are passionate, helpful, and strive to get the best out of Big Data .

Responsibilities
Participating in daily and bi-weekly scrum activities (Daily scrum, sprint planning, sprint review, and sprint retrospective).
Working with Business Analysts and Business Units to understand the business and requirements.
Working with DevOps Engineers and Software Engineers (Mobile and Web) to integrate Big Data Science solutions.
Developing data analysis and science solutions with Python.
Leveraging NumPy, SciPy, Pandas, MLlib, Scikit-Learn, NLTK, Scrapy, and Keras.
Utilizing Apache Spark, Apache Kafka, and Apache Cassandra to develop scalable real-time and data-driven applications
Advantages
A cutting edge technology stack: https://stackshare.io/brainfinance/
Competitive salary.
Fun and relaxed work environment.
Full health benefits - Medical.
Free healthy snacks and refreshments.
Advancement opportunities.
Great office location.
Providing opportunities to attend trainings and conferences
Requirements
A bachelor degree in software engineering or related fields ( A Ph.D. degree is a plus ).
Software engineers experienced with Python programming language.
3+ years of experience with Python Machine Learning and Optimization.
2+ years of experience with Apache Cassandra.
2+ years of experience with Apache Spark.
Familiarity with Apache Kafka and Apache Mesos.
Familiarity with Deep Learning libraries such as TensorFlow or Theano or CNTK.
Experience with GIT and Continuous Integration.
Being open to learn and explore new technologies.
Experience working in an agile environment (preferably, Scrum).",5.0,"Brain Finance Lab
5.0",Montreal,-1,51 to 200 Employees,-1,Private Practice / Firm,-1,-1,Less than $1 million (USD),-1,71,90,80.5,"Brain Finance Lab
",-1,QC,1,0,1,1,0
Applied Scientist,"CA$74k-CA$103k
(Glassdoor Est.)","We are looking for a customer obsessed Applied Scientist who can apply the latest research, state of the art algorithms and machine learning to build highly scalable systems in the financial accounting domain. Does the challenge of advancing one of the worlds most scalable, reliable, and secure e-commerce platforms that processes tens of millions of financial transactions, in multiple currencies and countries excite you? Have you ever wanted to work on machine learning problems that will make a lasting impact, solving key problems that impact the experience of millions of Amazon customers? If you are passionate about solving complex problems, in a challenging environment, we would love to talk with you.

As a member of our team you will develop and evaluate machine learning models using large data-sets, cloud services and customer behaviour to improve our customers experience. Working closely with best-in-class engineers you will have the opportunity to apply a variety of machine learning algorithms, including deep learning, and work on one of the world's largest data sets to influence the long term evolution of our technology roadmap. You will need to be entrepreneurial, able to deal with ambiguity and work in a highly collaborative environment.

WHO IS FLASH?

Financial Ledger & Accounting Systems Hub (FLASH), a division within Amazons eCommerce Foundation (eCF) is leading significant innovations in business systems integration and defining the future of accounting. Our group has been entrusted with accurate and timely recording of financial events for Amazons revenue generating businesses and our systems are advancing one of the world's most scalable, reliable, and secure e-commerce platforms that process hundreds of billions of dollars in transactions, in multiple currencies and countries. We are at the centre of Amazons key initiatives and fuelling the growth of Amazons businesses worldwide. Think about what it takes to process the tens of millions of financial transactions that are generated each day as millions of purchases are made, as thousands of suppliers are paid, as inventory moves in and out of warehouses, and as vendors are paid!




Basic Qualifications

· Ph.D./M.S. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field
· 3+ years of hands-on experience in predictive modelling and analysis
· 2+ years hands-on experience in Python, Scala, Java, C#, C++ or other similar languages
· 1+ years professional experience in software development
· Proficiency in model development, model validation and model implementation for large-scale applications
· Ability to convey mathematical results to non-science stakeholders
· Strength in clarifying and formalizing complex problems

Preferred Qualifications

· Ph.D. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field;
· 6+ years of practical experience applying ML to solve complex problems in an applied environment;
· Significant peer-reviewed scientific contributions in premier journals and conferences;
· Strong CS fundamentals in data structures, problem solving, algorithm design and complexity analysis;
· Experience with defining research and development practices in an applied environment;
· Experience working with Deep Learning frameworks (MxNet, TensorFlow, etc.);
· Proven track record in technically leading and mentoring scientists;
· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts.",3.9,"Amazon.com, Inc.
3.9",Vancouver,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,74,103,88.5,"Amazon.com, Inc.
",26,BC,1,0,0,0,0
Data Scientist/Time Series,"CA$57k-CA$79k
(Glassdoor Est.)","Reporting directly to the Director of Data Science, this role is pivotal in implementing advanced time series solutions to deliver high quality results to clients.

You will be interacting with multi-function teams, including data integration, model development and other consulting functions to implement best practice and thought leadership.

This role also works very closely with client project sponsors to ensure client satisfaction and business requirement fulfillment.

Duties and Responsibilities

Implement currently available time series forecasting models
Develop customized forecasting algorithms required by specifications of each project
Prototype, simulate and benchmark accuracy of algorithms
Develops production-ready codes in R
Works with main stakeholders including but not limited to: Account Executives, Management, Project Managers and Consulting Teams
Performs various other duties as delegated or assigned.
Required Knowledge, Skills, and Experience

The successful incumbent will have:
Graduate degree in a Statistics, Math Computer Science or Engineering program;
Proficient in time series analysis and forecasting
Fundamental knowledge of supervised and unsupervised Machine Learning
Experience with data preprocessing, anomaly/outlier detection
Advanced programming skills in R language is mandatory;
Knowledge of pharmaceutical industry is an asset;
Capability to adapt in fast changing environment and eager to learn
The ability to travel and work outside regular business hours as required;
Proven, motivated self-starter with the ability to lead by example and approach and solve business problems;
Experience working in cross-functional teams with the agility to learn new software applications and technologies;
Demonstrated time management, problem solving and decision making competencies;
Ability to work autonomously and in teams to effectively prioritize multiple projects and associated deliverables;
Proven excellent communication, including presentation, hands on analytical with business savviness and customer relationship abilities;
Proven ability to comprehend, analyze and research problems of a complex nature, make decisions and/or present recommendations;
Preference for fast paced, rapid start-up culture demonstrating the values of results, teamwork, energy, agility, respect, and can-do environment",3.8,"Scarsin Corporation
3.8",Markham,-1,51 to 200 Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,57,79,68.0,"Scarsin Corporation
",18,ON,0,0,0,0,0
Data Scientist / Engineer,"CA$62k-CA$94k
(Glassdoor Est.)","Mobile data connectivity drives economic growth and brings vast social benefits to the world, but two-thirds of the world's population is unable to access this valuable resource. Our mission is to make affordable mobile communications available to every human on earth.

We are founded by early Product and Growth team executives from Facebook, and backed by world-leading VCs including Google Ventures, Social Capital, SV Angels, Macquarie Capital, and Compound.

We partner with some of the greatest institutions in the world including Linkedin, Supercell, Twitter, Microsoft, Verizon Wireless, Singtel, and T-Mobile.

SUMMARY

As a Data Scientist / Engineer at LotusFlare, you will play a vital role in redefining connectivity on a global scale. You will work on products bringing connectivity to more than 10 million people across the globe. You will advocate data-fueled products that help our customers to make data-driven decisions. You will provide insight using leading analytics practice and ultimately produce new and creative analytic solutions that will become part of our core products including experimentation platform (Velocity), analytics platform (Periscope), and data platform. You are a strategic thinker who can form hypotheses, synthesize disparate information to validate those hypotheses, and provide actionable insights for the product team to scale user base.

RESPONSIBILITIES
Participate in building models that will scale products with millions of users globally
Partner with cross-functional teams including engineering, UX/UI, sales, marketing, and customer success to build growth strategies and manage complex, cross-functional projects
Analyze diverse sources of data to devise actionable insights
Deep understanding of the B2C consumer markets and core metrics in the markets
Work with Product Managers to develop, execute, and test different growth experiments that have a significant impact on conversion across all funnels (acquisition, activation, retention, engagement, and monetization)
REQUIREMENTS
Undergraduate degree in quantitative fields including Engineering, Math, Statistics from top tier institute or relevant field (MS or PHD is preferred)
Candidate must have the ability to independently build data pipelines, develop data models, and recommend growth strategies to product and executive teams
3 - 5 years of previous experience in building ETLs, analyzing consumer insights, creating metrics
Experience with SQL and/or NoSQL database
Experience with data visualization, dashboards, and reports
Experience with scripting languages such as Python
Candidate must be able to effectively synthesize disparate quantitative and qualitative data sets to make data-driven decisions
Eager to learn new programming languages and tools when needed
Strong desire to work in a fast-paced startup environment
Obsessive around moving critical business metrics and products
Strong communication skills, attention to detail, and ability to manage multiple projects and stakeholders
Great oral and written communication skills in English
Powered by JazzHR",4.1,"LotusFlare
4.1",Waterloo,-1,51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,62,94,78.0,"LotusFlare
",6,ON,1,0,0,0,0
Environmental Data Scientist,"CA$80k-CA$107k
(Glassdoor Est.)","Job Description


SUMMARY OF POSITION

As an Environmental Data Scientist, you will support numerous multi-disciplinary Environmental Engineering project teams with managing environmental quality and laboratory analytical data used in the assessment and remediation of contaminated sites. You will interface with digital solution specialists, project managers, laboratories, data technicians and GIS/drafting technicians to assure the reporting quality of environmental data. Using the environmental database EQuIS(TM) and other digital solutions, you will review sampling programs and analytical data, compile and update regulatory standards, support the preparation of report-quality results, trouble-shoot and provide solutions, and conduct quality control so that data management, reporting and visualization is completed in an efficient and timely manner.

In this role, you will contribute to critical path work which will be relied upon to make fundamental engineering decisions that affect clients, the public and SNC-Lavalin.

The successful candidate for this entry level position will have a strong understanding of organic and inorganic chemistry coupled with technical knowledge of database and data interpretation.

QUALIFICATIONS
B.Sc. in Chemistry or related field;
Experience or specialized training in the use of databases such as MS Access, SQL or equivalent;
1 to 2 years of related work experience;
English speaking;
Bilingual preferred (English and French)
PREFERRED SKILLS
Self-motivated, independent worker with strong organizational skills and the ability to manage time and multiple tasks;
Analytical thinker with problem solving skills;
Strong commitment to teamwork and multi-disciplinary communication skills;
Commitment to excellence;
Focus on quality control, quality management and attention to detail.
We are an equal opportunity employer.
Appropriate accommodations will be provided upon request throughout the recruitment and hiring process as required by Company policy and the Accessibility for Ontarians with Disabilities Act (AODA).Successful applicants will be notified about SNC-Lavalin’s accommodation policies at the time the employment offer is extended, and the information will be shared with new personnel during the onboarding process.

Founded in 1911, SNC-Lavalin is a global fully integrated professional services and project management company and a major player in the ownership of infrastructure. From offices around the world, SNC-Lavalin's employees are proud to build what matters. Our teams provide comprehensive end-to-end project solutions – including capital investment, consulting, design, engineering, construction, sustaining capital and operations and maintenance – to clients in oil and gas, mining and metallurgy, infrastructure and power. On July 3, 2017, SNC-Lavalin acquired Atkins, one of the world's most respected design, engineering and project management consultancies. http://www.snclavalin.com

At SNC-Lavalin, we seek to hire individuals with diverse characteristics, backgrounds and perspectives. We strongly believe that world-class talent makes no distinctions based on gender, ethnic or national origin, sexual identity and orientation, age, religion or disability, but enriches itself through these differences.

Worker Type
Employee
Job Type
Regular

At SNC-Lavalin, we seek to hire individuals with diverse characteristics, backgrounds and perspectives. We strongly believe that world-class talent makes no distinctions based on gender, ethnic or national origin, sexual identity and orientation, age, religion or disability, but enriches itself through these differences.

SNC-Lavalin cares about your privacy. SNC-Lavalin and other subsidiary or affiliated companies of SNC-Lavalin (referred to throughout as “SNC-Lavalin”) are committed to protecting your privacy. Please consult our Privacy Notice on our Careers site to know more about how we collect, use and transfer your Personal Data.

By submitting your personal information to SNC-Lavalin, you confirm that you have read and accept our Privacy Notice.",3.3,"SNC-Lavalin Group Inc.
3.3",Ottawa,-1,10000+ Employees,1911,Company - Public,Construction,"Construction, Repair & Maintenance",$5 to $10 billion (USD),-1,80,107,93.5,"SNC-Lavalin Group Inc.
",109,ON,0,0,0,0,0
Sr. Data Scientist - Application,"CA$92k-CA$142k
(Glassdoor Est.)","About Fusion Analytics


We believe in a future where analytics takes the lead role in steering organizations, and that Fusion is positioned as the leading consulting firm for this transformation. Founded in 2005, we are now 30 consultants and will be growing to 50 in the next 3 years. To make this happen we are looking for extremely smart people to join us. Our current client list is a who’s who of amazing companies, including Budweiser, Sobey's, Staples, IKEA, Walmart and Canadian Tire. We love what we do and know you will too.


What makes this role unique

You will become a master in data science, statistical modelling & analytics
Exposure to Canada’s largest and most successful companies
Opportunity for aggressive promotion as we build our team
Work with the smartest team of data scientists in the country
Contribution to company success is encouraged from day one
No politics and we work hard for everyone to succeed
Highly supportive work culture (learn more at
http://www.fusionanalytics.com/team.html
).
Team builders (e.g. BBQs, board game nights)
Equal opportunity employer


Examples of typical projects

Develop a complex analytical model to help a national home decor retailer optimize their business operation
Build an integrated media mix model for a $20 billion international retailer
Work with a major national retailer to develop a predictive model to measure, monitor and forecast key industry indicators


Requirements

A Masters or undergraduate degree with knowledge in data science (Mathematics, Statistics, Engineering, Finance, Science)
3+ years of professional experience related to data science, modelling and analytics
Strong technical skill in data modelling, machine / deep learning models (R, Python, Power Pivot, Power BI)
Strong sense of curiosity, with advanced critical thinking and analytical skills
Passionate about problem-solving and will rise to any challenge
Track record in doing excellent work in a high pressure and fast paced environment


Compensation

Competitive top-tier data scientist level salary
Health & dental benefits for spouse and dependents
Share options at the management level


Start Date

Flexible start dates through 2019 and 2020


Application Deadline

Ongoing


How to Apply

Apply with a PDF copy of your resume and undergraduate transcript.
Please name all files ((applicant name)) - ((document)) for example John Doe - Transcript.pdf.
Your resume should highlight your education, your overall GPA at each academic level, academic scholarships/awards, analytical experience (labeled as Analytical Experience), and other experience (labeled as Other Experience).
We define analytical experience in its broadest sense (working in a medical lab doing tests, software programming, robotic design, engineering projects, financial modeling, etc.).",4.8,"Fusion Analytics Inc.
4.8",Toronto,-1,1 to 50 Employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,92,142,117.0,"Fusion Analytics Inc.
",14,ON,1,0,0,0,0
Data Analyst,"CA$48k-CA$70k
(Glassdoor Est.)","Fujitsu Canada has an exciting opportunity for an experienced Data Analyst to join our solutions delivery team in Ottawa, supporting a large scale enterprise level transformation initiative.

Previous experience working on projects within the Canadian Federal Public Service preferred. Must currently hold, or ability to qualify for a Government of Canada Security Clearance.

Projected to begin in early 2020, the Data Analyst will be responsible for:
Responsibilities
Engage key users and stakeholders in defining data migration requirements
Identify, document and validate data migration requirements, technology and IT infrastructure requirements and expectations
Identify source data requirements
Assess source data quality
Define business rules for handling source data
Identify, document and validate target data requirements
Map and specify the required transformations from the source data to the target data
Validate data migration requirements with key users and stakeholders
Map source, staging and target data architectures to each other including rules and transformations
Design and execute procedures for data conversion, migration, cleansing telecommunications sectors.
Mandatory Skills and Experience Requirements
Currently hold or ability to qualify for a Government of Canada Security Clearance.
A degree from a recognized university in Computer Science, Information Technology or related field of study or equivalent relevant experience
5 years in performing complex source and target data analysis
5 years in large, phased data migration exercises
Strong analytical skills;
Strong oral and written communication skills
Strong relationship management skills
Able to work independently and manage priorities
Additional Skills and Certifications
Previous experience within the Canadian Federal Public Service
Experience in legacy modernization initiatives
Experience in large multi-year projects
Experience in a multi-vendor environment
Currently hold, or ability to qualify for, a Government of Canada Security Clearance
Bilingualism an asset
Fujitsu Canada provides a complete portfolio of business technology services, computing platforms, and industry solutions. Fujitsu platform products are based on scalable, reliable and high-performance server, storage, software, point-of-sale, and mobile technologies. Fujitsu combines its renowned platform offerings with a full suite of onshore, near shore and offshore system integration, outsourcing, and datacenter services covering applications, operations, infrastructure, customer service, and multi-vendor lifecycle services. Fujitsu provides industry-specific solutions for retail, manufacturing, healthcare, government, education, financial services, and telecommunications sectors. For more information on Fujitsu Canada's business scope, visit http://solutions.ca.fujitsu.com/.",3.8,"Fujitsu Limited
3.8",Ottawa,-1,10000+ Employees,1935,Company - Public,-1,-1,$5 to $10 billion (USD),-1,48,70,59.0,"Fujitsu Limited
",85,ON,0,0,0,0,0
